행동ID,행동명,설명
action_explain_equipment_role,장비 역할 설명,장비가 맡는 역할과 연결되는 자원 및 레시피를 설명한다
action_explain_resource_production,자원 생산 방법 설명,자원의 획득 방법과 생산 장비 및 관련 레시피를 설명한다
action_explain_recipe_requirements,레시피 요구사항 설명,"레시피에 필요한 입력 자원, 출력 자원, 필요 장비를 설명한다"
action_check_power,전력 상태 확인,발전소와 전력 노드 연결 상태를 확인한다
action_check_generator,발전소 확인,발전소가 설치되어 있고 정상 가동 중인지 확인한다
action_check_fuel,연료 확인,발전소에 공급되는 연료 자원이 충분한지 확인한다
action_check_power_network,전력망 연결 확인,전력 노드를 통해 장비가 전력망에 연결되어 있는지 확인한다
action_check_input_resource,입력 자원 확인,현재 레시피에 필요한 입력 자원이 장비에 들어오는지 확인한다
action_check_upstream_machine,상위 장비 확인,입력 자원을 생산하는 상위 장비가 정상 작동하는지 확인한다
action_check_storage,저장 공간 확인,"출력 슬롯, 저장고, 탱크의 여유 공간을 확인한다"
action_check_conveyor,컨베이어 확인,컨베이어 방향과 연결 상태를 확인한다
action_check_pipe,파이프 확인,파이프 방향과 연결 상태를 확인한다
action_check_transport_type,물류 방식 확인,자원 상태에 맞는 컨베이어 또는 파이프를 사용하는지 확인한다
action_check_storage_type,저장 방식 확인,자원 상태에 맞는 저장고 또는 탱크를 사용하는지 확인한다
action_check_material_state,자원 상태 확인,"자원이 고체, 액체, 기체, 분말 중 어떤 상태인지 확인한다"
action_check_machine_type,장비 타입 확인,현재 자원과 레시피에 맞는 장비를 사용하고 있는지 확인한다
action_set_recipe,레시피 설정 확인,장비에 올바른 레시피가 설정되어 있는지 확인한다
action_check_machine_count,장비 수 확인,현재 생산 목표에 비해 장비 수가 부족하지 않은지 확인한다
action_check_downstream_route,하위 경로 확인,생산물이 다음 장비나 저장소로 이동할 수 있는지 확인한다
action_check_durability,내구도 확인,장비의 현재 내구도가 충분한지 확인한다
action_repair_machine,장비 수리,내구도가 낮은 장비를 수리하거나 교체한다
action_check_build_cost,설치 비용 확인,장비 설치나 업그레이드에 필요한 자원이 충분한지 확인한다
action_check_inventory,인벤토리 확인,필요 자원이 인벤토리에 충분히 있는지 확인한다
action_answer_unknown_without_guessing,모르는 질문 처리,매뉴얼 데이터에 없는 내용은 추측하지 않고 확인 불가로 안내한다
