보상룰ID,퀘스트타입,진행티어,권장레벨범위,기본XP,기본크레딧,보상자원그룹,보상자원수량범위,보상스케일링,LLM보상설명힌트
reward_daily_t1,daily,T1,1-5,80,20,기초 원재료,2-4,기본값,"초반 일일 퀘스트는 빠르게 완료 가능한 보상으로 안내한다."
reward_daily_t2,daily,T2,6-10,120,35,기초 가공 자원,2-4,기본값,"중반 진입 일일 퀘스트는 생산 라인 보강에 도움이 되는 보상으로 안내한다."
reward_daily_t3,daily,T3,11-15,170,55,중급 가공 자원,1-3,기본값,"중급 일일 퀘스트는 병목 해소와 다음 제작 준비를 보상 문맥에 넣는다."
reward_daily_t4,daily,T4,16-20,230,80,고급 가공 자원,1-2,기본값,"고급 일일 퀘스트는 희소 자원과 고급 공정 준비를 보상 문맥에 넣는다."
reward_weekly_t1,weekly,T1,1-5,300,90,기초 원재료 묶음,8-12,일일의 3.5배,"초반 주간 퀘스트는 여러 기초 생산 목표를 묶은 장기 보상으로 설명한다."
reward_weekly_t2,weekly,T2,6-10,460,140,기초 가공 자원 묶음,6-10,일일의 3.5배,"중반 주간 퀘스트는 장비 확장과 레시피 체인 완성을 보상 문맥에 넣는다."
reward_weekly_t3,weekly,T3,11-15,650,210,중급 가공 자원 묶음,5-8,일일의 3.5배,"중급 주간 퀘스트는 복수 공정 안정화와 병목 완화를 강조한다."
reward_weekly_t4,weekly,T4,16-20,900,320,고급 가공 자원 묶음,3-6,일일의 3.5배,"고급 주간 퀘스트는 희소 자원 확보와 고급 설비 준비를 강조한다."
reward_surprise_t1,surprise,T1,1-5,60,15,즉시 보급품,1-3,일일의 0.75배,"초반 깜짝 퀘스트는 갑작스러운 부족분을 빠르게 메우는 보상으로 설명한다."
reward_surprise_t2,surprise,T2,6-10,95,25,긴급 가공 자원,1-3,일일의 0.75배,"중반 깜짝 퀘스트는 돌발 문제 해결과 라인 복구를 보상 문맥에 넣는다."
reward_surprise_t3,surprise,T3,11-15,135,40,중급 긴급 보급품,1-2,일일의 0.75배,"중급 깜짝 퀘스트는 병목이나 이벤트 대응을 짧은 보상 문맥으로 설명한다."
reward_surprise_t4,surprise,T4,16-20,185,60,고급 긴급 보급품,1-2,일일의 0.75배,"고급 깜짝 퀘스트는 고급 라인의 돌발 리스크 대응 보상으로 설명한다."
